SwapMat/OptMat,3,6,12,24,36,48,60,72,84,96,108,120
12,0.0025,0.00266,0.00293,0.004273778,0.005649628,0.006773778,0.007724234,0.008547556,0.009273778,0.009923406,0.010511065,0.011047556
24,0.005,0.00421,0.005649628,0.006773778,0.007724234,0.008547556,0.009273778,0.009923406,0.010511065,0.011047556,0.01154108,0.011998012
36,0.007267302,0.007267302,0.007724234,0.008547556,0.009273778,0.009923406,0.010511065,0.011047556,0.01154108,0.011998012,0.012423406,0.012821335
48,0.008921353,0.008921353,0.009273778,0.011958178,0.012666335,0.013312833,0.013907553,0.014458178,0.014970797,0.01545032,0.015900763,0.016325452
60,0.010224234,0.010224234,0.010511065,0.013312833,0.013907553,0.014458178,0.014970797,0.01545032,0.015900763,0.016325452,0.016727174,0.017108284
72,0.011299255,0.011299255,0.01154108,0.014458178,0.020142008,0.020787168,0.021393203,0.021964588,0.022505072,0.023017826,0.023505558,0.023970596
84,0.012214377,0.012214377,0.012423406,0.01545032,0.021393203,0.021964588,0.022505072,0.023017826,0.023505558,0.023970596,0.024414958,0.024840406
96,0.013011065,0.013011065,0.013195131,0.016325452,0.022505072,0.023017826,0.023505558,0.023970596,0.024414958,0.024840406,0.025248484,0.025640554
108,0.013716492,0.013716492,0.013880922,0.017108284,0.023505558,0.023970596,0.024414958,0.024840406,0.025248484,0.025640554,0.026017826,0.026381376
120,0.014349433,0.014349433,0.014498012,0.017816442,0.024414958,0.024840406,0.025248484,0.025640554,0.026017826,0.026381376,0.026732167,0.027071064
